Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
2,1,3,1,1,0,67,4,1,0,0,1
1,1,3,1,1,0,68,4,1,0,0,1
2,1,1,1,1,0,19,3,3,0,0,1
1,1,3,1,1,0,39,0,1,0,0,1
3,0,1,2,0,0,81,0,6,1,0,1
2,1,3,1,1,0,43,7,1,0,0,1
1,1,3,1,1,0,45,4,1,0,0,1
2,1,1,1,1,0,22,6,3,0,0,1
1,0,1,2,0,0,25,0,6,1,0,2
2,1,3,1,1,0,85,0,1,0,0,2
1,1,1,2,1,0,28,3,3,0,0,2
2,1,0,0,0,2,0,0,1,2,2,2
1,1,3,2,1,0,29,4,1,0,0,1
2,1,1,1,1,0,37,9,1,0,0,1
3,0,1,2,0,0,56,0,1,2,1,1
4,0,1,2,0,0,65,0,1,2,1,1
1,1,1,1,1,0,19,6,3,0,0,1
2,1,3,1,1,0,44,9,9,0,0,1
1,1,1,2,1,0,30,3,3,0,0,2
2,1,3,2,1,0,46,4,1,0,0,2
2,0,1,1,1,0,20,0,3,0,1,2
3,1,3,1,1,0,39,0,1,0,0,2
1,1,1,2,1,0,38,4,3,0,0,2
1,1,3,1,1,0,50,7,1,0,0,2
2,1,1,1,1,0,38,4,1,0,0,2
1,0,1,1,0,0,87,0,6,1,0,2
2,1,3,1,1,0,33,0,1,0,0,2
1,1,1,1,0,0,31,0,0,2,2,2
2,1,3,2,1,0,29,0,1,0,0,2
1,1,1,2,1,0,33,4,1,0,0,2
1,1,3,1,1,0,34,7,2,0,0,2
2,0,1,1,0,0,38,0,6,1,0,2
1,1,3,2,1,0,45,4,1,0,0,2
2,1,1,1,1,0,18,0,3,0,0,2
1,1,1,1,1,0,42,8,3,0,0,0
2,1,3,1,1,0,33,4,1,0,0,0
1,1,1,1,0,0,50,1,0,2,2,2
2,1,3,1,1,0,39,0,1,0,0,2
1,1,1,1,1,0,48,4,1,0,0,0
2,1,3,1,1,0,47,4,5,0,0,0
1,1,3,1,1,0,29,3,3,0,0,0
2,1,1,1,0,0,37,1,0,0,0,0
3,0,3,1,1,0,29,0,3,0,1,0
1,1,1,1,1,0,37,2,3,0,0,0
2,1,3,2,1,0,55,6,1,0,0,0
3,0,3,2,1,0,74,0,1,0,1,0
1,1,1,1,1,0,36,2,3,0,0,0
2,1,3,1,1,0,27,6,1,0,0,0
1,1,1,1,1,0,38,7,3,0,0,0
2,1,3,2,1,0,47,4,1,0,0,0
1,1,1,1,1,0,38,6,3,0,0,0
2,1,3,1,0,2,0,0,1,2,2,0
1,1,1,1,1,0,41,6,3,0,0,0
2,1,3,1,1,0,52,12,1,0,0,0
1,1,1,2,1,0,28,4,1,0,0,0
2,1,1,1,1,1,46,6,1,0,0,0
1,1,1,1,1,0,58,3,3,0,0,0
2,1,3,1,1,0,75,4,1,0,0,0
2,1,1,1,1,0,30,0,3,0,0,1
1,1,1,1,1,0,19,3,3,0,0,1
2,0,1,2,1,0,35,0,3,0,1,1
1,1,1,1,1,0,20,4,3,0,0,1
2,1,3,2,1,0,74,6,1,0,0,1
